Designator,Val,Package,MidX,MidY,Rotation,Layer
C28,100n,0603_AVX,203.667302,-74.0566,0,bottom
C29,1n,CAPC2012X88N,194.869214,-107.363,-90,bottom
C30,1n,CAPC2012X88N,194.928214,-114.194,-90,bottom
C31,2.2u,CAPC1608X90N,214.105202,-83.555,0,bottom
C32,100u,CAP_TPS1210_3P5X2P8_AVX,214.242002,-80.7586,0,bottom
C35,2.2u,CAPC1608X90N,165.437888,-73.94,90,bottom
C37,4.7u_100V,CAPC3216X190N,171.538798,-56.415,-90,bottom
C38,2.2u,CAPC1608X90N,179.717888,-73.88,90,bottom
C39,4.7u_100V,CAPC3216X190N,175.281278,-56.415,-90,bottom
C40,4.7u_100V,CAPC3216X190N,179.023758,-56.415,-90,bottom
C41,4.7u_100V,CAPC3216X190N,182.766238,-56.415,-90,bottom
C42,2.2u,CAPC1608X90N,192.257888,-74.21,90,bottom
C43,4.7u_100V,CAPC3216X190N,186.508718,-56.415,-90,bottom
C44,4.7u_100V,CAPC3216X190N,190.251202,-56.415,-90,bottom
C45,1n,CAPC2012X88N,189.838214,-119.55,-90,bottom
C49,100n,0603_AVX,189.106124,-145.966,0,bottom
C52,15n,CAPC340180_88N_KEM,192.251016,-107.684203,-90,bottom
C53,15n,CAPC340180_88N_KEM,192.075417,-114.200594,-90,bottom
C54,15n,CAPC340180_88N_KEM,187.025417,-119.62099,-90,bottom
C57,100n,0603_AVX,188.706124,-137.5304,0,bottom
C59,100n,0603_AVX,188.726124,-129.2948,0,bottom
D1,BLUE,LED_LTST-C191KRKT_LTO,233.9911,-139.1776,180,bottom
D2,RED,LED_LTST-C191KRKT_LTO,234.0341,-137.4998,180,bottom
D3,GREEN,LED_LTST-C191KGKT_LTO,234.0229,-135.8466,180,bottom
D4,D_Schottky,CFP3_SOD123W_NEX,206.352802,-76.4223,0,bottom
L2,22u,IND_BOURNS_SDR0805,206.572252,-82.9143,0,bottom
P8,PH_A,8x8mm Solder Pad,166.045,-90.95,180,bottom
P9,PH_B,8x8mm Solder Pad,179.335,-90.95,180,bottom
P10,PH_C,8x8mm Solder Pad,192.62,-90.95,180,bottom
P11,SUPPLY,8x8mm Solder Pad,159.09,-72.36,180,bottom
P12,GND,8x8mm Solder Pad,158.93,-61.15,180,bottom
Q1,IRF7749,DIRECTFET_L8_INF,170.9802,-64.869,-90,bottom
Q3,IRF7749,DIRECTFET_L8_INF,181.2226,-64.759,-90,bottom
Q5,IRF7749,DIRECTFET_L8_INF,191.059,-64.6624,-90,bottom
Q7,DMN62D0UW-7,SOT323_DMN62D0UV_DIO,168.8681,-104.865,180,bottom
R7,1k,RESC3216X70N,233.19,-142.896,-90,bottom
R8,220R,RESC3216X75N,235.67,-142.896,-90,bottom
R9,220R,RESC3216X75N,238.08,-142.856,-90,bottom
R15,39k,RESC1608X55N,171.1812,-105.02,90,bottom
R16,2k2,RESC1608X55N,166.6212,-105.05,90,bottom
R17,39k 60V,RESC6332X70N,186.657024,-141.114,0,bottom
R18,2k2,RESC1608X55N,188.994024,-144.305,0,bottom
R19,39k 60V,RESC6332X70N,186.547024,-132.762,0,bottom
R20,2k2,RESC1608X55N,188.754024,-135.715,0,bottom
R21,39k 60V,RESC6332X70N,186.537024,-124.36,0,bottom
R22,2k2,RESC1608X55N,188.804024,-127.535,0,bottom
R35,1k,RESC3216X70N,187.805214,-105.01,0,bottom
R36,1k,RESC3216X70N,187.965214,-111.3,0,bottom
R37,1k,RESC3216X70N,183.125214,-116.62,0,bottom
R48,10k,RESC1608X55N,203.78,-126.935,0,bottom
U5,AD8418,SOP65P490X110-8N,162.842888,-74.235,90,bottom
U6,AD8418,SOP65P490X110-8N,176.972888,-74.395,90,bottom
U7,AD8418,SOP65P490X110-8N,189.372888,-74.585,90,bottom
U10,MC74VHC1GT66,SC-88A_ONS,188.290714,-107.352399,180,bottom
U12,MC74VHC1GT66,SC-88A_ONS,188.330714,-114.067197,180,bottom
U13,MC74VHC1GT66,SC-88A_ONS,183.490714,-119.291995,180,bottom
U14,MC74VHC1GT66DF1G,SC-88A_ONS,184.074524,-145.017601,0,bottom
U15,MC74VHC1GT66DF1G,SC-88A_ONS,184.604524,-136.412803,0,bottom
U16,MC74VHC1GT66DF1G,SC-88A_ONS,185.124524,-128.528005,0,bottom
